Precip,Pot_ET,Strmflw
0,1.21,0.64
0.67,1.63,0.78
8.72,1.34,0.65
0,1.52,0.47
0,1.73,0.42
0,2.86,0.41
0,2.35,0.38
0,1.4,0.33
0,0.78,0.3
0,0.89,0.28
0,1.91,0.27
0,1.34,0.26
34.62,0.73,0.28
0,1.94,1.46
0,2.15,1.98
0,1.39,1.68
0.02,1.1,1.34
5.89,1.57,0.78
0,2.37,0.56
0,1.54,0.46
0,1.54,0.4
0,1.59,0.35
0,1.02,0.32
0,1.19,0.29
9.25,0.57,0.29
0,1.77,0.37
0,1.81,0.46
3.04,0.75,0.48
0,1.69,0.43
0,1.62,0.38
0,1.76,0.35
0,1.86,0.33
0,1.8,0.31
0,1.42,0.3
0,0.76,0.29
0,1.82,0.28
0,1.25,0.27
17.41,0.42,0.27
0,0.98,0.49
0,0.84,1.2
0,0.68,1.41
4.87,0.27,1.08
0,0.37,0.75
0,0.9,0.62
0,0.27,0.56
26.62,0.19,0.52
2.66,0.38,1.29
0,0.32,2.77
0,0.18,3.2
0,0.92,2.84
0,1.55,2.11
0,0.96,1.23
0,0.78,0.8
7,0.74,0.66
0,2.01,0.71
0,1.6,0.73
0,1.75,0.66
0,1.64,0.58
0,1.36,0.52
0,0.94,0.48
39.2,0.41,0.48
0,1.94,1.88
0,0.62,2.56
0,1.73,2.05
0,1.38,1.38
14.52,0.71,1.13
33.71,0.99,1.87
0,1.69,5.3
0,1.54,5.38
0,0.85,5.76
0,2.04,4.12
0,1.99,2.3
0,1.42,1.43
0,1.75,1.1
3.46,0.49,0.95
19.39,0.22,0.88
0,0.42,1.41
5.05,0.4,2.05
26.05,0.21,2.42
2.66,0.12,4.03
12.59,0.33,4.93
0,1.7,6.05
0,0.84,5.67
0,0.8,4.44
9.19,0.19,3.13
0.22,0.68,2.84
8.13,0.99,2.64
8.72,0.94,3.05
6.93,0.68,2.91
0,0.84,3.05
10.52,0.82,3.43
1.67,0.88,3.35
0,2.81,3.2
0,2.33,2.84
0,1.8,2.17
0,1.5,1.63
0.05,1.39,1.23
0,1.33,1
0,2.25,0.88
0.02,0.66,0.8
0.32,0.32,0.78
0.1,0.43,0.75
0.12,0.3,0.71
0.32,0.72,0.66
0,0.99,0.64
0.07,2.72,0.6
0,3.41,0.58
7.6,2.8,0.54
0,1.52,0.54
6.11,1.55,0.56
0,2.86,0.66
0,3.13,0.68
0,2.19,0.64
0,2.43,0.58
0,1.85,0.5
19.15,1.18,0.61
0,3.81,1.57
0,3.53,1.74
9.22,0.65,1.74
0.21,5.08,1.46
0,2.88,1.52
0,1.56,1.63
0,1.6,1.1
0,1.74,0.75
0.27,1.24,0.62
32.27,3.75,1.62
0,4.88,2.91
0,4.6,3.35
0,3.63,3.05
0,1.32,2.3
9.95,1.4,1.08
0,3.83,0.95
0,1.05,1.26
0.18,3.12,1.34
0,1.16,1.03
0,1.9,0.75
13.65,1.92,0.94
0,4.99,1.63
0,5.13,1.57
0,5.84,1.32
0,3.48,0.85
0,2.75,0.62
0,2.29,0.52
0.14,2.2,0.46
42.28,0.57,0.63
2.42,0.65,2.87
12.87,0.66,2.77
1.02,1.23,3.13
0,3.84,3.28
0,1.7,2.64
0,2.03,1.74
0,2.4,1.08
7.93,0.61,0.8
4.41,1.41,0.83
16.93,3.41,1.13
1.72,1.78,2.5
40.63,0.94,6.38
0,3.95,7.33
0,5.69,5.2
0,5.5,3.56
0,4.8,2.28
0,2.78,1.48
0,2.38,1.01
1.55,3.11,0.82
0.03,3.46,0.74
0,4.08,0.69
0,4.3,0.61
0,2.67,0.55
0,4.05,0.48
0,5,0.45
0,4.64,0.42
0,2.67,0.39
0.13,6.79,0.36
0,4.95,0.35
0,5.16,0.34
5.04,4.78,0.32
9.4,2.24,0.31
13.43,0.86,0.33
1.45,4.3,0.6
0,5.64,0.69
0,3.96,0.5
0,6.02,0.37
0,5.09,0.33
0,2.94,0.31
3.93,2.42,0.29
4.68,2.42,0.29
10.78,2.24,0.31
44.87,4.27,0.33
19.95,3.18,3.79
3.09,2.25,2.82
34.4,2.77,2.69
3.31,4.43,3.48
0,4.45,3.18
1.07,4.23,2.22
1.23,1.14,1.48
8.26,1.44,0.92
6.57,0.76,0.9
11.72,3.02,0.99
0,5.29,1.69
0,5.17,1.48
0,1.98,1.2
8.48,3.04,0.95
0.84,1.45,0.82
0.04,2.53,0.7
4.65,1.04,0.61
13.43,5.35,0.74
0,4.43,1.05
0.26,4.1,0.8
9.04,2.59,0.9
0.55,0.88,1.16
0,1.48,0.78
0,2.57,0.72
0,3.96,0.7
0,6.71,0.48
0,7.67,0.37
0,8.33,0.32
0,7.85,0.29
0,6.69,0.27
0,5.1,0.25
5.9,5.2,0.24
0.03,4.31,0.23
0,4.5,0.23
0,5.62,0.22
0,5.3,0.22
0.47,3.86,0.21
8.15,6.15,0.26
9.01,5.62,0.38
3.44,4.19,0.31
13.89,3.66,0.43
0,2.12,0.65
0,4.29,0.52
5.63,4.57,0.39
4.45,2.95,0.3
1.23,2.6,0.26
8.99,2.89,0.25
0,3.6,0.24
9.89,2.83,0.23
0,3.33,0.23
0.09,3.24,0.22
0.71,3.61,0.22
7.75,4.33,0.26
0,5.19,0.22
8.59,5,0.22
1.03,4.71,0.21
15.13,5.03,0.22
8.31,3.35,0.34
0,4.25,0.36
2.32,4.94,0.25
5.82,2.8,0.36
1.25,4.07,0.35
12.62,1.92,0.42
7.59,2.71,0.43
5.09,1.95,0.56
0,2.85,0.88
1.98,4.63,0.63
0.05,4.93,0.43
5.89,3.21,0.34
13.17,1.82,0.28
19.63,2.95,0.32
0,3.63,0.69
0,3.03,0.69
0,5.15,0.5
0,4.52,0.39
0,5.4,0.31
2.57,4.8,0.25
1.1,4.58,0.23
0,3.06,0.31
0,4.09,0.21
0,5.96,0.19
1.58,7.01,0.17
3.08,2.82,0.17
4.17,2.45,0.17
0,2.6,0.18
5.35,3.52,0.18
0.95,3.31,0.18
0,3.71,0.19
0,4.23,0.18
2.38,4.43,0.17
0.1,4.99,0.16
0,4.59,0.16
0,5.91,0.15
12.05,5.8,0.15
6.57,5.16,0.15
3.52,4.04,0.17
0,4.69,0.18
0,4.76,0.2
0.13,5.22,0.18
4.74,3.3,0.17
0,3.96,0.19
0.12,4.57,0.18
14.18,4.6,0.17
9.67,3.63,0.17
0,4.65,0.24
0.4,4.6,0.39
0.2,4.66,0.28
0,5.56,0.24
2.84,4.92,0.19
23.19,3.4,0.18
0.58,2.38,0.27
0,4.07,0.38
0.51,1.26,0.5
10.08,0.61,0.52
4.7,0.38,0.36
4.06,0.53,0.31
0,0.92,0.27
0,4.1,0.25
0,4.21,0.22
0,3.85,0.22
0,5.7,0.2
0,3.75,0.18
0,4.95,0.17
0,4.24,0.15
0,4.85,0.14
0.03,3.59,0.14
3.05,1.52,0.14
0.76,2.37,0.14
0,3.18,0.16
1.47,4.08,0.23
0,3.56,0.17
1.41,3.73,0.18
0,4.52,0.16
0,3,0.15
0,3.78,0.14
28.49,1.67,0.15
21.22,0.66,0.34
3.13,1.5,0.63
0,1.86,0.57
0,4.04,0.37
12.45,2.09,0.27
0.05,2.77,0.41
14.37,2.49,0.42
23.84,1.6,0.5
10.11,0.41,1.11
0,3.63,1.29
0.75,0.47,1.25
0.66,0.35,0.86
1.41,3.96,0.59
0,2.89,0.42
0.55,0.87,0.33
23.47,0.45,0.4
0.02,0.44,1.1
2.1,0.93,1.29
0,4.16,1.07
0,3.91,0.67
1.01,4.17,0.45
0.9,1.42,0.35
0.6,0.94,0.3
2.68,0.33,0.27
3.24,0.23,0.26
18.81,0.3,0.36
0,0.57,0.76
0,2.33,0.86
0,2.71,0.74
36.73,1.53,0.85
10.57,1.93,5.1
0,1.41,3.69
0,2.58,3.3
0,2.02,2.51
0,2.56,1.76
0,2.11,0.81
0,1.38,0.62
0,2.76,0.51
0,0.84,0.46
24.01,0.3,0.75
0,0.41,1.15
0,0.33,1.05
0.47,1.46,0.96
0,2.33,0.73
0,1.96,0.58
0,1.83,0.49
0,1.52,0.44
3.77,0.94,0.41
3.82,0.53,0.39
0,2.99,0.41
0,2.95,0.45
0.78,2.61,0.47
8.8,0.52,0.45
0,2.02,0.45
0,1.59,0.47
0,1.67,0.42
0,1.5,0.37
1.71,1.63,0.36
0,1.95,0.36
0,0.79,0.35
6.34,0.66,0.34
0,2.04,0.34
0,1.94,0.38
0,2.01,0.39
0,0.81,0.36
0,1.33,0.33
16.34,0.51,0.32
2.96,0.67,0.62
0,0.99,0.81
0,1.09,0.81
0,0.77,0.77
0.05,0.65,0.6
20.27,0.72,0.51
1.5,1.27,0.71
0,2.04,0.98
0,1.09,1.03
0,1.75,0.75
0,1.19,0.56
0,0.88,0.47
0.02,0.69,0.42
0.02,0.24,0.39
0.03,0.48,0.37
24.71,0.67,0.43
0,1.48,1.19
0,1.78,2.05
0,0.63,2.11
2.08,0.69,1.61
0.88,0.36,0.96
9.44,0.18,0.73
0,1.18,0.89
0,0.97,1.49
15.16,0.59,1.73
6.47,0.07,1.79
0,0.3,1.88
0,0.96,2.01
0,0.7,2.37
1.92,0.69,1.67
0,0.76,1.12
0,0.52,1.03
0.21,0.58,0.94
12.79,0.79,0.87
0,1.97,0.87
0,0.8,1.05
29.28,0.17,1.46
0,1.41,3.53
0,0.87,3.69
0,1.53,3.53
0,1.58,2.72
0,1.3,1.52
0,1.07,0.96
0,1,0.81
0,1.69,0.71
0.22,0.78,0.65
1.46,0.76,0.62
0,0.31,0.6
30.13,0.4,1.07
1.78,0.49,2.86
0,0.23,3.69
0,0.17,3.85
0,0.16,3.15
49.96,0.6,2.05
0.69,1.96,5.18
0,1.1,5.7
0.08,0.86,5.8
0,1.19,5.4
0,2.31,3.08
0,1.52,2.05
0.35,3.47,1.46
0,2.48,1.07
6.92,1.19,0.91
8.02,0.29,0.87
0,1.49,0.91
4.75,0.69,1.03
0.42,0.33,1.38
0.33,1.96,1.98
0.37,1.08,2.23
0,2.08,1.73
0,1.22,1.17
20.99,0.21,1.34
0.02,2.53,3.08
0,2.64,3.38
3.59,1.11,3.08
0.03,0.76,2.31
0,1.88,1.46
0,0.7,1.2
1.62,0.94,1.03
15.42,1.4,0.94
33.81,1,0.91
27.92,0.23,4.04
0,1.62,6.98
0,2.36,7.09
0,1.81,7.43
0,1.61,4.77
0.85,0.69,2.65
1.25,1.43,2.05
10.67,0.97,1.43
0,2.38,1.43
4.86,0.66,1.67
0,3.06,1.73
0,1.7,1.43
21.77,0.83,1.25
27.18,0.19,7.28
0,2.99,7.43
0,1.22,6.41
0,3.31,5.1
0,4.61,3.45
0,3.82,2.37
0,4.07,1.67
0.06,4.52,1.2
0.99,3.31,1.05
0.28,1.51,1
2.73,1.46,0.96
0.08,2.18,1.03
4.86,0.61,1.03
0,1.24,0.98
39.19,1.07,1.51
0,5.65,6
0,4.77,5
12.45,2.79,3.69
28.81,1.12,3.3
5.11,1.36,6.55
0.01,2.19,7.43
0,5.62,7.54
0,6.07,6.38
0,6.47,3.53
0,2.48,2.51
2.04,1.77,1.73
0,5.22,1.17
0,5.41,1.03
0,5.14,0.91
0,2.38,0.85
0,3.36,0.77
0,3.3,0.73
0,4.11,0.69
5.06,1.37,0.65
0,4.78,0.64
0,5.84,0.64
0,5.09,0.58
0,2.77,0.54
0,2.79,0.51
0,3.45,0.49
0,3.54,0.46
0,3.18,0.43
12.66,3.01,0.41
0,4.04,0.44
0,5.34,0.68
2.07,3.48,1
0,2.94,0.64
0,3.97,0.47
0,2.08,0.4
0,5.56,0.35
0,2.73,0.34
29.35,1.37,0.55
60.83,1.12,2.35
0.21,2.09,7.09
2.02,6.39,5.7
1.22,4.12,7.43
2.05,5.29,5.3
7.45,2.36,2.23
0,2.81,1.46
0,5.37,1.17
0,5.87,0.91
0,5.33,0.79
0,3.89,0.65
0,4.44,0.56
0,5.24,0.51
0,3.98,0.47
0,5.19,0.43
0,4.03,0.43
0,5.26,0.38
0,5.43,0.36
0,4.59,0.33
0,5.24,0.32
2.07,5.31,0.3
0,6.96,0.29
0,4.85,0.28
0,5.38,0.26
0,6.47,0.25
0,5.61,0.24
5.91,3.03,0.23
3.55,2.31,0.25
0,5.85,0.27
0,5.51,0.27
0,6.48,0.24
0,7.32,0.22
0,7.16,0.21
0,5.75,0.2
0,6.5,0.19
0,7.04,0.19
0,7.38,0.18
0,6.55,0.18
0,4.39,0.17
0.58,6.66,0.17
0,6.72,0.16
0,7.27,0.16
2.45,4.47,0.16
0,7.97,0.16
0,7.52,0.15
0,6.02,0.15
0.47,6.25,0.15
0,6.38,0.15
0.43,5.58,0.15
0.4,4.37,0.14
36.42,2.66,0.15
0.03,3.57,0.23
1.84,2.84,0.34
0,6.78,0.28
0,6.44,0.22
2.2,6.94,0.19
0,6.51,0.18
0.08,7.1,0.17
0,7.19,0.16
2.96,4.51,0.16
23.09,2.71,0.18
0,5.84,0.41
0,7.02,0.43
0,5.99,0.3
0,5.75,0.2
2.67,6.36,0.17
2.71,5.97,0.16
0.29,6.77,0.16
0,7.81,0.18
0.05,6.94,0.15
0,7.36,0.15
35,3.45,0.15
7.31,3.07,0.22
0,4.11,0.32
0,4.91,0.23
0.11,6.21,0.18
0.4,6.73,0.16
1.3,6.42,0.15
2.08,5.12,0.15
3.8,5.38,0.14
0,6.12,0.15
0,7.12,0.16
0,5.68,0.15
0.63,6.69,0.14
0,7.36,0.13
10.34,4.44,0.13
0.11,4.45,0.15
3.33,5.24,0.15
6.42,2.95,0.16
2.67,3.14,0.25
19.49,3.32,0.18
5.75,3.29,0.24
23.74,3,0.49
0,5.37,0.36
0,5.86,0.35
0,4.7,0.2
18.62,2.27,0.18
42.58,0.71,0.32
5.05,0.95,1.63
6.35,1.59,1.03
24.4,1.05,0.91
1.42,3.02,1
0.4,4.85,0.67
6.87,4.16,0.51
3.97,3.32,0.51
30.6,1.16,0.51
0.29,2.36,1.28
6.32,1.99,1.36
70.46,0.72,2.06
0,3.19,6.1
2.03,4.93,5.5
0,5.33,6
0,3.51,3.04
0.03,3.33,1.17
0,3.7,0.67
3.29,5.05,0.51
0,5.4,0.43
5.11,6.15,0.37
0.21,5.74,0.33
0.07,5.48,0.31
0.06,5.81,0.29
1.5,5.6,0.26
0,5.46,0.25
0,5.58,0.24
0,5.83,0.22
2.64,5.16,0.22
0.58,1.28,0.21
6.07,2.57,0.2
0,0.87,0.2
0,5.96,0.25
0,5.11,0.22
0,1.36,0.21
2.12,1.47,0.19
3.97,0.84,0.19
0.34,2.93,0.19
0,4.74,0.19
0,5.48,0.18
0,4.96,0.17
0,4.81,0.16
7.01,5.66,0.17
0,3.6,0.19
0.08,3.66,0.16
0,2.65,0.15
0.39,0.76,0.15
1.88,1.73,0.15
2.74,0.56,0.15
0,1.67,0.15
0,4.87,0.15
0,4.99,0.15
0,3.96,0.15
0,1.63,0.14
0.36,2.19,0.14
28.93,0.97,0.15
27.01,0.64,0.25
4.57,1.46,0.78
0,2.67,1.31
0,3.42,1.22
0,3.9,1.08
0,3.59,0.6
0,3.53,0.34
0,2.66,0.26
0,1.04,0.23
0,2.05,0.2
0,3.07,0.19
0,2.82,0.18
0,2.5,0.17
0.3,0.71,0.16
0,0.9,0.15
0,2.46,0.15
0,3.15,0.15
0,2.9,0.15
0,3.36,0.15
0,3.44,0.15
0.85,0.67,0.15
0,2.21,0.14
0,3.4,0.14
0.01,1.85,0.14
45.22,0.32,0.24
0.21,3.03,0.52
0,2.97,0.58
0,3.03,0.49
0,3.08,0.47
0,2.77,0.35
0.43,2.52,0.26
0.34,2.64,0.22
0,2.25,0.2
0,1.83,0.18
3.1,1.21,0.18
0,0.87,0.18
0,2.12,0.18
0,1.28,0.18
0,0.73,0.17
0,2.56,0.17
0,2.44,0.17
4.79,0.39,0.18
0.64,0.77,0.19
0.02,0.35,0.2
0,2.3,0.19
0,1.6,0.19
0,1.49,0.19
15.31,0.46,0.19
4.03,0.39,0.29
0,0.39,0.3
0,1.34,0.31
0,1.79,0.3
0,0.52,0.26
1.92,0.58,0.24
0.22,2.86,0.2
0,2.11,0.2
0,2.38,0.2
0,1.71,0.2
0,1.57,0.2
0,1.39,0.19
0,2.12,0.19
0.15,1,0.19
1,0.16,0.19
7.29,0.34,0.19
0.69,0.96,0.2
19.29,0.8,0.22
0.82,1.75,0.3
0,1.52,0.45
0,1.1,0.47
8.41,0.19,0.4
5.36,0.05,0.41
2.05,1.74,0.51
0,1.38,0.51
0,1.13,0.45
0,1.37,0.41
22.99,0.27,0.39
0,1.66,0.64
0,0.49,0.65
0,1.41,0.69
0.71,0.37,0.61
0.21,0.42,0.47
0,0.82,0.4
0.03,0.51,0.36
1,0.31,0.34
10.09,0.41,0.32
0.41,0.31,0.43
26.39,0.41,0.8
0,0.55,1.93
0,0.31,2.23
0,1.63,2.16
0,1.24,1.29
0,0.43,0.81
0,0.35,0.62
19.57,0.17,0.55
1.15,0.85,0.79
0,1.84,1.03
0,1.34,1.28
0,1.13,1.04
0,1.3,0.74
14.42,0.45,0.66
1.98,0.18,1.06
0,0.36,1.17
0,0.94,1.15
0,1.22,0.94
0,1.81,0.75
6.26,0.97,0.65
0,1.83,0.67
0,1.63,0.65
0,0.95,0.64
0,1.17,0.59
39.57,0.08,0.69
4.34,0.29,0.98
7.65,0.11,3.28
1.05,0.84,3.54
1.05,0.37,3.16
0,1.38,2.44
0,1.54,1.48
0,1.31,1.04
0,1.26,0.88
10.96,0.25,0.8
0,1.08,1.02
0,1.52,1.54
0,1.82,1.73
3.25,0.31,1.37
4.18,0.34,1.03
0,0.56,0.98
0,0.84,0.94
0,1.77,0.89
0,2.31,0.77
0,2.01,0.67
0,1.72,0.6
0,0.91,0.55
0,0.89,0.51
0,1.66,0.48
32.22,0.43,0.72
19.53,0.8,5.01
42.68,0.35,5.56
53.35,0.35,7.54
97.39,0.2,15.06
29.17,0.71,41.3
0,2.5,58.24
33.35,0.26,46.69
0.2,2.88,29.75
0,3.55,14.31
4.55,0.91,7.48
5.13,2.52,5.52
0.96,0.78,4.2
0.03,2.75,3.31
0,1.8,2.51
0,1.29,2.03
3.15,1.01,1.81
13.79,0.76,1.78
0.63,2.03,3.08
8.49,4.72,3.56
0,4.17,3.38
0,3.27,2.59
0,0.88,1.88
1.16,1.94,1.57
2.09,1.82,1.42
0,4.59,1.31
0,4.41,1.19
18.03,1.28,1.13
55.36,0.46,2.22
0.08,3.46,7.38
0.03,2.39,7.51
8.73,0.65,9.31
0,3.08,7.14
0,4.01,4.22
0,4.16,3.23
0,3.73,2.46
0,2.96,1.74
0,4.79,1.44
22.77,1.07,1.52
55.26,0.73,9.18
33.56,0.34,12.26
69,0.34,13.43
12.98,1.61,24.1
1.48,3.27,32.26
0,4.83,30.88
6.09,2.15,17.2
0,4.46,5.36
0,4.68,3.35
3.24,1.03,2.57
0,4.87,2.01
0,1.85,1.69
24.59,2.96,2.13
0,3,2.85
10.77,2.37,2.74
1.15,2.24,2.81
0,4.64,2.36
0,4.27,2
0,1.91,1.62
0,5.35,1.32
0,5.75,1.15
0,5.17,1.02
0,5.42,0.94
0,5.86,0.88
0,4.25,0.82
0,3.11,0.78
0,3.34,0.74
0,3.27,0.7
0,2.75,0.67
10.28,3,0.65
0.51,4.31,0.67
0,6.08,0.69
0,3.79,0.65
0,2.68,0.58
2.13,1.44,0.55
1.08,2.2,0.53
0,4.94,0.5
0,5.14,0.48
0,5.18,0.46
0,3.86,0.44
0,3.85,0.42
16.56,1.88,0.41
0,4.28,0.46
0,4.37,0.47
0,4.03,0.42
0,4.97,0.4
0,5.2,0.38
0.43,2.92,0.36
14.94,4.62,0.38
0,6.65,0.42
0,4.77,0.4
0,2.76,0.36
0.23,6.22,0.34
0.43,3.11,0.33
13.13,2.82,0.31
0,3.45,0.34
0.14,2.11,0.36
0,1.57,0.36
4.78,2.25,0.32
0.83,1.35,0.42
4.67,6.51,0.36
0,6.31,0.31
0,6.59,0.29
0,6.38,0.27
0,6.27,0.26
0,6.38,0.25
0,5.87,0.24
0,5.66,0.23
0,6.2,0.23
2.14,5.96,0.22
0,5.79,0.22
2.94,2.77,0.21
0,4.67,0.21
20.11,4.05,0.21
4.24,2.42,0.22
5.07,2.32,0.37
2.77,2.35,0.27
23.09,2.92,0.38
2.51,2.7,0.56
8.66,1.83,0.5
5,1.21,0.5
15.42,0.59,0.48
11.47,0.62,0.49
31.39,0.51,0.81
50.45,0.73,2.06
0,4.58,4.51
0,6.51,5.13
0,5.25,4.95
12.78,3.91,2.67
26.76,1.52,1.66
46.87,0.96,3.98
0,5.78,6.69
0,5.92,5.59
3.46,5.86,4.78
0,5.37,2.44
7.2,5.18,1.42
0.04,5.33,1.2
15.64,3.4,1.51
0,5.08,3.7
0,6.5,2.96
0,4.73,1.24
18.07,2.76,0.88
5.67,1.95,1.25
0,2.12,2.03
0.86,2.13,1.61
40.72,0.66,1.57
22.8,1.64,3.39
2.17,4.13,4.74
2.92,3.28,5
1.59,4.15,4.88
2.1,3.84,4.12
0.05,2.88,2.67
0,5.48,1.73
0,4.9,1.12
10.5,4.68,1.07
7.25,5.3,1.24
3.18,3.91,1.07
7.61,3.74,0.94
2.5,4.4,1.11
0,5.26,1.17
6.98,5.67,1.17
2.99,4.51,1.37
0,4.91,1.69
1.81,5.43,1.38
0.27,5.36,1.18
0.41,3.57,0.98
0.65,5.69,0.63
0,5.42,0.52
19.81,4.71,0.46
1.81,4.58,0.49
0.08,5.73,0.66
0.45,5.12,0.56
0.81,1.37,0.46
11.12,3.29,0.44
0,3.58,0.56
1.18,5.89,0.52
1.83,4.82,0.46
0.02,4.81,0.44
18.37,4.77,0.37
0,3.42,0.66
1.78,2.54,0.58
0,2.3,0.87
0,4.54,0.85
0,4.91,0.72
0,6.12,0.49
4.4,4.85,0.38
0,2.87,0.35
2.35,4.78,0.34
0,4.65,0.31
19.08,3.87,0.29
0,3.03,0.3
0,2.56,0.5
0,3.66,0.48
0.36,3.13,0.33
0.14,3.39,0.29
0.56,4.15,0.27
0.18,2.99,0.26
0.09,3.82,0.4
16.94,2.79,0.31
1.07,2.67,0.43
0.98,3.84,0.37
0.13,4.95,0.34
0.12,4.59,0.31
3.04,3.93,0.26
0,4.13,0.26
4.27,2.42,0.26
5.76,1.99,0.25
5.09,0.8,0.26
0.02,1,0.26
17.57,1.48,0.29
2.84,1.86,0.56
0,3.75,0.6
0,5.05,0.44
0,5.28,0.34
0,4.49,0.28
0,4.4,0.25
0,4.53,0.23
1.29,2.49,0.23
0,2.92,0.22
0,4.53,0.22
0,4.32,0.21
0,5.13,0.2
0,4.51,0.2
0,4.75,0.19
0,2.89,0.18
0,5.24,0.18
2.69,3.37,0.19
4.4,1.73,0.2
15.78,0.72,0.21
0.01,3.06,0.26
0,4.47,0.3
0,4.28,0.25
0,3.73,0.23
0.48,1.56,0.21
1.13,1.79,0.21
0,4.04,0.22
0,4.34,0.2
0,4.14,0.19
0,4.56,0.19
0,2.4,0.18
0,4.98,0.17
0,4.41,0.17
0,3.91,0.17
0,3.95,0.17
0,3.75,0.17
0,3.16,0.16
0,3.47,0.16
0,2.99,0.16
0,3.11,0.16
0,3.2,0.16
0,3.05,0.16
0,2.59,0.16
0,3.82,0.16
0,3.5,0.16
0,1.23,0.16
1.61,1.98,0.16
0,2.68,0.16
0,2.04,0.16
0,1.98,0.16
0,2.49,0.17
43.87,0.52,0.21
10.32,0.14,0.51
0.47,0.29,0.58
0,1.04,0.45
0,3.49,0.35
0,3.09,0.29
0,2.45,0.25
0,0.86,0.23
0.08,1.41,0.21
7.45,1.52,0.21
124.11,0.33,0.58
2.9,0.2,9.08
25.73,0.44,11.47
0.93,3.29,12.15
0,1.45,8.45
0,0.54,5.02
0.05,1.53,3.04
0,2.16,1.53
0,1.22,1.06
52.8,0.82,1
2.21,0.59,6.84
0.08,2.07,6.56
0,2.08,6.33
0,1.28,5
0,0.57,3.09
0,0.95,1.53
0,1.97,1.13
0,1.45,0.94
0,1.07,0.82
0,1.12,0.74
0.05,1.16,0.69
0,1.12,0.65
9.08,0.2,0.62
5.75,0.09,0.63
0,1.55,0.7
11.84,1,0.73
56.58,0.7,1.28
2.52,0.24,7.32
31.16,0.35,8.38
44.87,0.24,12.33
1.84,1.6,18.2
31.21,0.05,21.34
13.95,0.01,21.97
12.01,0.09,17.57
60.37,0.1,15.82
0,0.36,23.47
0,2.04,25.61
0,1.29,23.1
0,1.19,12.93
0.5,1.54,5.1
0,2.25,3.45
0,1.12,2.56
0,1.29,1.95
0,1.27,1.68
8.83,0.45,1.54
0,1.1,1.59
0,1.29,1.48
0,1.55,1.32
13.55,0.31,1.25
0,0.53,1.88
0,1.27,2.26
0,1.52,2.15
3.51,0.9,1.61
101.37,0.23,6.02
1.77,0.37,17.57
0.06,0.49,20.33
0,1.4,22.09
9.61,0.34,13.81
0,0.91,5.33
0,0.57,3.36
0,0.72,2.41
0,0.99,1.9
7.42,0.79,1.77
11.61,1.21,5.22
0,1.22,7.37
0,1.34,7.72
66.51,0.24,8.15
9.92,0.09,12.8
0.35,0.2,13.68
0,0.56,15.19
0.05,0.41,11.65
4.02,0.07,5.27
0,0.47,3.69
0,0.57,3.16
35.47,0.59,2.77
2.95,0.23,5.26
0,2.67,6.09
0,1.99,6.18
0,2.73,5.42
0,2.24,3.25
0,2.35,2.38
0,1.9,1.79
0,1.14,1.54
0,0.57,1.42
2.69,0.89,1.36
0,2.67,1.33
0,2.14,1.29
1.12,0.77,1.24
0,2.01,1.19
0,2.31,1.14
0,2.52,1.07
0,2.8,1
0,3.42,0.96
0,0.8,0.93
2.26,0.62,0.93
0,0.5,1.03
0.2,1.49,0.96
6.81,0.66,0.94
0,3.5,1.01
6.85,2.23,1.23
24.9,0.7,2.1
2.31,0.84,4.07
7.15,1.37,4.29
0,2.92,5.07
0,1.24,5.15
6.85,1.85,3.58
0,2.44,2.82
0.71,0.47,2.16
3.49,0.48,1.61
5.74,0.22,1.42
0,0.32,1.42
1.9,0.58,1.34
0,3.19,1.31
0,2.83,1.21
0,1.11,1.07
0.41,0.93,0.97
3.28,1.15,0.91
0.29,0.67,0.89
0,0.83,0.91
0.03,4.24,0.93
0,2.6,0.87
10.74,0.85,0.8
0,1.79,0.97
0,3.9,0.98
0,3.4,0.9
0,3.74,0.82
0,2.73,0.74
0,1.11,0.7
0.08,3.89,0.68
0,1.44,0.66
0,4.43,0.63
0,4.1,0.61
6.43,4.37,0.62
0,2.95,0.63
0,4.73,0.58
0,4.19,0.56
0,3.63,0.54
4.73,2.06,0.52
67.34,0.46,4.22
0,4.66,10.86
0,4.33,16.19
0,3.46,11.92
0,1.83,4.29
4.68,0.52,2.31
17.88,1.29,3.89
0,1.21,4.14
0,5.07,3.64
0,3.75,2.91
1.67,2.18,1.82
15.21,2.03,1.27
34.86,1.46,2.92
0,5.46,4.86
0,5.34,5.65
0,5.26,5.56
0,5.05,2.16
0.21,1.5,1.67
0.05,2.97,1.16
0,5.27,1
0,5.79,0.93
0,6.66,0.87
0,5.31,0.8
1.92,3.24,0.74
6.23,1.29,0.72
0.81,1.67,0.7
0,3.6,0.69
69.97,3.92,0.7
27.13,1.69,12.49
0,3.78,12.38
0.76,4.42,8.33
3.19,2.77,6.75
0,5.8,3.55
0,2.81,1.96
0,5.76,1.15
0,5.88,0.87
0,6.33,0.75
0,5.92,0.66
0,7.2,0.6
0,6.61,0.54
0,5.09,0.5
0,6.83,0.47
0,6.68,0.45
4.3,6.72,0.42
0,5,0.41
0.13,5.68,0.4
0,6.92,0.4
2.12,6.49,0.38
0,6.32,0.37
0,7.28,0.35
0,5.98,0.34
0,6.75,0.32
0,6.39,0.32
0,3.57,0.3
0,3.73,0.29
0,5.21,0.29
0,4.45,0.28
0,5.88,0.27
0,7.52,0.26
